gene	partner
AB014085.4	HCG19P
AB023048.2	HCG21
AB023051.1	HCG20
AB023060.6	POLR2LP
ABAD	HSD17B10
ABAT	ABAT
ABAT	GABAT
ABBA-1	MTSS1L
ABBP1	HNRNPAB
ABC-C	ABCA3
ABC1	HEATR6
ABC16	ABCB11
ABC1~withdrawn	ABC1~withdrawn
ABC20	ABCB1
ABC28	ABCF2
ABC2~withdrawn	ABC2~withdrawn
ABC35	CFTR
ABC36	ABCC8
ABC3~withdrawn	ABC3~withdrawn
ABC50~withdrawn	ABC50~withdrawn
ABC7~withdrawn	ABC7~withdrawn
ABC8	ABCG1
ABCA1	ABCA1
ABCA1	TGD
ABCA10	ABCA10
ABCA10	EST698739
ABCA11P	ABCA11P
ABCA11P	EST1133530
ABCA11P	FLJ14297
ABCA12	ABCA12
ABCA12	DKFZP434G232
ABCA12	LI2
ABCA13	ABCA13
ABCA13	FLJ33876
ABCA13	FLJ33951
ABCA17P	ABCA17P
ABCA2	ABCA2
ABCA3	ABC-C
ABCA3	ABCA3
ABCA3	EST111653
ABCA3	LBM180
ABCA4	ABCA4
ABCA4	ARMD2
ABCA4	CORD3
ABCA4	FFM
ABCA5	ABCA5
ABCA5	EST90625
ABCA6	ABCA6
ABCA6	EST155051
ABCA7	ABCA7
ABCA7	ABCX
ABCA8	ABCA8
ABCA8	KIAA0822
ABCA9	ABCA9
ABCA9	EST640918
ABCA9-AS1	ABCA9-AS1
ABCB1	ABC20
ABCB1	ABCB1
ABCB1	CD243
ABCB1	GP170
ABCB1	P-gp
ABCB10	ABCB10
ABCB10	EST20237
ABCB10	M-ABC2
ABCB10	MTABC2
ABCB10P1	ABCB10P1
ABCB10P1	M-ABC2
ABCB10P1	MABC2
ABCB10P2~withdrawn	ABCB10P2~withdrawn
ABCB10P3	ABCB10P3
ABCB10P4	ABCB10P4
ABCB11	ABC16
ABCB11	ABCB11
ABCB11	PFIC-2
ABCB11	PGY4
ABCB11	SPGP
ABCB2~withdrawn	ABCB2~withdrawn
ABCB3~withdrawn	ABCB3~withdrawn
ABCB4	ABCB4
ABCB4	GBD1
ABCB4	MDR2
ABCB4	PFIC-3
ABCB5	ABCB5
ABCB5	ABCB5alpha
ABCB5	ABCB5beta
ABCB5	EST422562
ABCB5alpha	ABCB5
ABCB5beta	ABCB5
ABCB6	ABCB6
ABCB6	EST45597
ABCB6	MTABC3
ABCB6	umat
ABCB7	ABCB7
ABCB7	ASAT
ABCB7	Atm1p
ABCB7	EST140535
ABCB8	ABCB8
ABCB8	EST328128
ABCB8	M-ABC1
ABCB8	MABC1
ABCB9	ABCB9
ABCB9	EST122234
ABCC1	ABCC1
ABCC1	GS-X
ABCC10	ABCC10
ABCC10	EST182763
ABCC10	MRP7
ABCC10	SIMRP7
ABCC11	ABCC11
ABCC11	MRP8
ABCC12	ABCC12
ABCC12	MRP9
ABCC13	ABCC13
ABCC13	C21orf73
ABCC13	PRED6
ABCC2	ABCC2
ABCC2	DJS
ABCC2	MRP2
ABCC2	cMRP
ABCC3	ABCC3
ABCC3	EST90757
ABCC3	MLP2
ABCC3	MOAT-D
ABCC3	MRP3
ABCC3	cMOAT2
ABCC4	ABCC4
ABCC4	EST170205
ABCC4	MOAT-B
ABCC4	MOATB
ABCC4	MRP4
ABCC5	ABCC5
ABCC5	EST277145
ABCC5	MOAT-C
ABCC5	MRP5
ABCC5	SMRP
ABCC5-AS1	ABCC5-AS1
ABCC6	ABCC6
ABCC6	EST349056
ABCC6	MLP1
ABCC6	MRP6
ABCC6	URG7
ABCC6P1	ABCC6P1
ABCC6P2	ABCC6P2
ABCC7~withdrawn	ABCC7~withdrawn
ABCC8	ABC36
ABCC8	ABCC8
